SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
A-K-00009,2019-01-04,96.68686869,108.0,99.02020202,100.09090909999999,F,147.0
A-K-00028,2019-01-04,96.68686869,112.0,99.02020202,100.09090909999999,F,152.0
A-K-00010,2019-01-04,105.56565659999998,108.0,97.55555556,101.010101,F,147.0
A-K-00036,2019-01-04,147.0707071,160.0,121.8989899,134.8787879,C,190.0
A-K-00016,2019-01-04,0.0,160.0,0.0,0.0,C,190.0
A-K-00012,2019-01-04,33.49494949,34.0,32.72727273,37.03030303,C,54.0
A-K-00013,2019-01-04,0.0,61.0,0.0,0.0,C,99.0
A-K-00014,2019-01-04,47.31632653,61.0,51.59183673,55.14285714,C,99.0
E-A-00002,2019-01-04,34.78787879,35.0,30.303030300000003,30.303030300000003,G,48.0
E-A-00003,2019-01-04,38.69662921,39.0,33.70786517,33.70786517,G,52.0
E-A-00126,2019-01-04,34.78787879,35.0,30.303030300000003,30.303030300000003,G,48.0
E-A-00004,2019-01-04,20.29292929,26.0,22.45454545,20.2020202,G,42.0
E-A-00005,2019-01-04,20.29292929,26.0,22.45454545,20.2020202,G,42.0
E-A-00007,2019-01-04,22.57303371,29.0,24.97752809,22.47191011,G,46.0
E-A-00009,2019-01-04,75.75757576,92.0,64.93939394,64.93939394,G,128.0
E-A-00140,2019-01-04,5.050505051,7.0,5.443722944,4.638528139,G,13.0
E-A-00011,2019-01-04,78.65168539,92.0,84.7752809,72.23595506,G,128.0
E-A-00012,2019-01-04,70.70707071,92.0,76.21212121,64.93939394,G,128.0
E-A-00106,2019-01-04,5.050505051,7.0,5.443722944,4.638528139,G,13.0
E-A-00013,2019-01-04,78.65168539,102.0,84.7752809,72.23595506,G,128.0
E-E-00001,2019-01-04,12.96969697,13.0,12.62626263,12.0,G,21.0
E-A-00014,2019-01-04,48.875,50.0,46.01041667,42.44791667,G,71.0
E-A-00017,2019-01-04,82.45454545,83.0,69.37373737,50.50505051,G,102.0
E-A-00390,2019-01-04,14.91919192,16.0,15.15151515,15.15151515,G,25.0
E-A-00202,2019-01-04,31.32323232,34.0,31.97979798,32.0,G,50.0
E-A-00395,2019-01-04,0.0,35.0,0.0,0.0,G,54.0
E-A-00020,2019-01-04,34.58333333,35.0,35.875,35.71875,G,54.0
E-A-00086,2019-01-04,0.0,40.0,0.0,0.0,G,59.0
E-A-00025,2019-01-04,47.54545455,55.0,57.79797979999999,49.08080808,G,90.0
E-A-00170,2019-01-04,9.878787878999999,12.0,15.78787879,27.67676768,G,20.0
E-A-00180,2019-01-04,16.20833333,17.0,11.83333333,11.83333333,G,20.0
E-A-00028,2019-01-04,13.08333333,15.0,13.44791667,12.86458333,G,24.0
E-A-00162,2019-01-04,0.0,19.0,0.0,0.0,G,29.0
E-A-00029,2019-01-04,15.53125,17.0,21.01041667,15.51041667,G,27.0
E-A-00030,2019-01-04,15.88541667,19.0,14.92708333,16.17708333,G,30.0
E-A-00102,2019-01-04,38.19387755,39.0,37.15306122,38.21428571,G,57.0
E-A-00037,2019-01-04,25.10204082,27.0,27.55102041,26.24489796,G,45.0
E-A-00040,2019-01-04,25.25252525,30.0,20.2020202,20.2020202,G,41.0
E-A-00042,2019-01-04,16.22222222,17.0,14.98989899,15.15151515,G,20.0
E-A-00041,2019-01-04,18.18181818,20.0,18.65656566,18.18181818,G,26.0
E-A-00099,2019-01-04,23.303030300000003,23.0,25.04040404,20.04040404,G,40.0
E-A-00045,2019-01-04,0.0,45.0,0.0,0.0,G,71.0
E-A-00046,2019-01-04,33.55555556,41.0,34.62626263,32.58585859,G,58.0
E-A-00048,2019-01-04,47.75757576,55.0,61.38383838,64.68686869,G,97.0
E-A-00052,2019-01-04,23.51041667,26.0,25.70833333,25.55208333,G,41.0
E-A-00054,2019-01-04,25.25252525,14.0,0.0,0.0,G,25.0
E-A-00060,2019-01-04,0.0,30.0,0.0,0.0,G,47.0
E-A-00061,2019-01-04,19.53535354,21.0,19.21212121,25.49494949,G,43.0
E-A-00161,2019-01-04,22.03030303,23.0,22.19191919,22.19191919,G,38.0
E-A-00062,2019-01-04,14.92929293,17.0,16.42424242,20.58585859,G,35.0
E-A-00065,2019-01-04,47.90909091,48.0,49.22222222,58.72727273,G,84.0
E-A-00195,2019-01-04,,,,,G,
E-A-00145,2019-01-04,38.96969697,41.0,38.26262626,35.14141414,G,62.0
E-A-00175,2019-01-04,47.22222222,50.0,47.303030299999996,44.18181818,G,73.0
E-A-00068,2019-01-04,64.43434343,65.0,71.16161616,70.70707071,G,104.0
E-A-00083,2019-01-04,8.363636364,10.0,18.25252525,25.64646465,G,28.0
E-A-00072,2019-01-04,25.94949495,26.0,25.16161616,25.25252525,G,40.0
E-A-00400,2019-01-04,15.15151515,18.0,15.85858586,15.15151515,G,28.0
E-A-00149,2019-01-04,5.050505051,6.0,10.1010101,10.1010101,G,19.0
E-A-00073,2019-01-04,0.0,14.0,12.03125,12.03125,G,24.0
E-A-00074,2019-01-04,12.3125,14.0,12.35416667,11.32291667,G,23.0
E-A-00122,2019-01-04,12.4375,14.0,0.0,0.0,G,23.0
E-A-00186,2019-01-04,14.88888889,16.0,12.09090909,14.94949495,G,26.0
E-A-00076,2019-01-04,40.71276596,43.0,40.09574468,41.26595745,G,62.0
